date,fear_greed_index,z_score_grade,category
2008-07-18,-15.0,5.6875,중립
2008-07-19,-90.0,0.625,극도의 공포
2008-07-20,-5.555555555555555,6.041666666666667,중립
2008-07-21,-5.88235294117647,6.029411764705882,중립
2008-07-22,-48.38709677419355,3.3709677419354835,공포
2008-07-23,-5.88235294117647,6.029411764705882,중립
2008-07-24,-37.5,4.1875,공포
2008-07-25,-40.0,4.0,공포
2008-07-26,-60.0,2.5,극도의 공포
2008-07-27,-47.05882352941176,3.4705882352941178,공포
2008-07-28,-11.538461538461538,5.8173076923076925,중립
2008-07-29,-35.714285714285715,4.321428571428571,공포
2008-07-30,-73.33333333333333,1.666666666666667,극도의 공포
2008-07-31,-64.1025641025641,2.2435897435897436,극도의 공포
2008-08-01,-65.85365853658537,2.1341463414634143,극도의 공포
2008-08-02,-48.148148148148145,3.3888888888888893,공포
2008-08-03,-26.82926829268293,4.987804878048781,공포
2008-08-04,-65.51724137931035,2.155172413793103,극도의 공포
2008-08-05,-41.935483870967744,3.854838709677419,공포
2008-08-06,-68.0,2.0,극도의 공포
2008-08-07,-30.434782608695656,4.717391304347826,공포
2008-08-08,-54.166666666666664,2.9375,공포
2008-08-09,-80.0,1.25,극도의 공포
2008-08-10,-35.483870967741936,4.338709677419355,공포
2008-08-11,-10.0,5.875,중립
2008-08-12,-44.0,3.7,공포
2008-08-13,-56.09756097560976,2.792682926829268,공포
2008-08-14,-55.00000000000001,2.8749999999999996,공포
2008-08-15,-15.384615384615385,5.673076923076923,중립
2008-08-16,-40.74074074074074,3.9444444444444446,공포
2008-08-17,-2.4390243902439024,6.158536585365853,중립
2008-08-18,-52.0,3.1,공포
2008-08-19,-64.70588235294117,2.2058823529411766,극도의 공포
2008-08-20,-48.38709677419355,3.3709677419354835,공포
2008-08-21,-58.620689655172406,2.6034482758620694,공포
2008-08-22,-45.09803921568628,3.617647058823529,공포
2008-08-23,-39.130434782608695,4.065217391304348,공포
2008-08-24,36.58536585365854,8.24390243902439,탐욕
2008-08-25,-26.666666666666668,5.0,공포
